routeID,routeName,spendTime,stopIds
102,학내순환(순환),8,"[1010001,1019001,1010005,1010006,1010007,1010008,1019002,1019003,1010001]"
191,학내순환(미디어랩스),9,"[1010001,1019001,1010005,1010006,1010007,1010008,1019002,1019003,1010002,1010004]"
181,학내순환(오전 단축),5,"[1010001,1019001,1010005,1010006,1010007,1010008]"
200,신창역 직행,5,"[1010002,1019004,1019005,1010010]"
201,신창역 직행,8,"[1010010,1019005,1019004,1010003,1010004]"
292,신창역 순환(등교),18,"[1010010,1019005,1019004,1010001,1019001,1010005,1010006,1010007,1010008,1019002,1019003,1019004,1019005,1010010]"
282,신창역 순환(하교),18,"[1010002,1019001,1010005,1010006,1010007,1010008,1019002,1019003,1019004,1019005,1010010,1019005,1019004,1010003,1010004]"
302,신창역 휴일,18,"[1010010,1019005,1019004,1010001,1019001,1010005,1010006,1019004,1019005,1010010]"
392,수시면접 셔틀,392,"[1010010,1019005,1019004,1010001,1019001,1010030,1010031,1019004,1019005,1010010]"
100000,교대 하교,100,"[1010009,1019006,1019007,1010015,1010016,1010017]"
100001,교대 등교,120,"[1010011,1010012,1010013,1010014,1019007,1019006,1010004]"
110000,인천 하교,110,"[1010009,1019008,1019009,1019010,1019011,1010020,1010021]"
110001,인천 등교,140,"[1010018,1010019,1019011,1019010,1019009,1019008,1010004]"
120000,부천 하교,95,"[1010009,1019008,1019009,1019010,1019011,1010021]"
120001,부천 등교,125,"[1010022,1019011,1019010,1010009,1019008,1010004]"
130000,안산 하교,90,"[1010009,1019008,1019012,1010027,1010028,1010029]"
130001,안산 등교,120,"[1010024,1010025,1010026,1019012,1019008,1010004]"
