stopID,stopName,latitude,longitude,approach,arrival,leave
1010001,향설동문(순환),36.77279,126.93384,150,20,30
1010002,향설동문(직행),36.77295,126.93318,150,20,30
1010003,향설동문(종착),36.77299,126.93311,150,20,30
1010004,미디어랩스(종착),36.77195,126.93096,150,20,30
1010005,멀티미디어관.향설3관,36.76828,126.93536,150,20,30
1010006,향설1.2관.유니토피아,36.76787,126.93261,150,20,30
1010007,향설도서관.공과대학,36.76887,126.93122,150,20,30
1010008,정문.인문사회대학,33.4507,126.57066,150,20,30
1010009,미디어랩스 통학승강장,36.77211,126.93127,150,20,30
1010010,신창역,36.76928,126.94946,150,20,30
1010011,교대역 14번출구,37.49198,127.01315,300,50,150
1010012,동천역 경부 하행,37.3387,127.10321,1500,50,300
1010013,죽전 경부 하행,37.32625,127.10314,1500,50,300
1010014,신갈 경부 하행,37.27274,127.10343,1500,50,300
1010015,신갈 경부 상행,37.2737,127.10395,1500,50,300
1010016,죽전 경부 상행,37.32653,127.10378,1500,50,300
1010017,교대역(종착),37.49373,127.01369,1500,500,500
1010018,주안역 1번출구,37.46403,126.68338,300,50,150
1010019,문학경기장역 2번출구,37.43457,126.69734,300,50,150
1010020,인천터미널역,37.44194,126.69986,1500,500,500
1010021,주안역(종착),37.46411,126.68031,1500,500,500
1010022,송내역.로데오거리,37.49021,126.75383,300,50,150
1010023,송내역(종착),37.48766,126.75345,1500,500,800
1010024,안산역 1번출구,37.32741,126.79006,300,50,150
1010025,중앙역 1번출구,37.31627,126.84021,300,50,150
1010026,상록수역 3번출구,37.30239,126.86435,300,50,150
1010027,상록수역(하차),37.30257,126.86484,300,50,150
1010028,중앙역(하차),37.31627,126.84021,300,50,150
1010029,안산역(종착),37.32741,126.79006,1500,500,500
1010030,유니토피아 3층,36.76869,126.93344,150,30,50
1010031,유니토피아.산학협력관,36.76962,126.93327,150,30,50
1010032,동탄역.롯데캐슬,37.19974,127.09857,300,30,50
1019001,(경유) 학성사 3관,36.77142,126.93466,150,30,50
1019002,(경유) 읍내리까치골,36.77332,126.93132,150,30,50
1019003,(경유) 순천향대삼거리,36.7747,126.93254,150,30,50
1019004,(경유) 경희학성,36.77143,126.93574,500,50,100
1019005,(경유) 행목리,36.76837,126.94284,500,50,100
1019006,(경유) 안성JC,37.03607,127.13892,4000,500,2000
1019007,(경유) 동탄JC,37.17789,127.09603,4000,500,2000
1019008,(경유) 서평택JC,37.05426,126.88849,4000,500,2000
1019009,(경유) 마도JC,37.18762,126.77618,4000,500,2000
1019010,(경유) 군자JC,37.36264,126.7688,4000,500,2000
1019011,(경유) 서창JC,37.43298,126.73848,4000,500,2000
1019012,(경유) 팔탄JC,37.19102,126.87213,4000,500,2000
